type,   desc,                      place,          costs,          eCosts,       length,         stations,       bridgekm,       tunnelkm,       switches,             year
Tram,   Bauabschnitt 3,            Magdeburg,      ba3reform:22,   ?,            ba3reform:3.6,  ba3reform:8,    0,              0,              ba3reform:2,          ba3reform:2012
Tram,   Verlängerung L1,           Bremen,         ?,              62,           4.8,            10,             ?,              ?,              ?,                    2013
Tram,   Vauban,                    Freiburg,       18.7,           ?,            2.5,            5,              ?,              ?,              ?,                    2007
Tram,   Zähringen,                 Freiburg,       ?,              28.3,         1.8,            ?,              ?,              ?,              ?,                    2014
Tram,   erste Strecke,             Darmstadt,      5.1,            ?,            5.5,            34,             0,              0,              24,                   1897
Tram,   diverse Ausbauten,         Darmstadt,      5.6,            ?,            5.98,           29,             0,              0,              14,                   1903
Tram,   Arheilgen Bauabschnitt 1,  Darmstadt,      23.3,           11.7,         1.3,            3,              0,              0,              0,                    2009
Tram,   Arheilgen Bauabschnitt 2,  Darmstadt,      15,2,           ?,            1.2,            3,              0,              0,              2,                    2011
Tram,   TU-Lichtwiese Variante I,  Darmstadt,      ?,              23.58,        2.05,           4,              0,              0,              4,                    ?
Tram,   TU-Lichtwiese Variante II, Darmstadt,      ?,              8.32,         1.33,           1,              0,              0,              8,                    ?
Tram,   Ruhbank,                   Stuttgart,      ?,              46,           4.922,          8,              ?,              ?,              ?,                    2007
Tram,   Stammheim,                 Stuttgart,      105,            ?,            2.985,          5,              ?,              ?,              ?,                    2011
Tram,   Hauptbahnhof,              Berlin,         ?,              ?,            2.4,            3,              ?,              ?,              ?,                    2014
Tram,   Abschnitt,                 Bergen,         ?,              110,          9.8,            ?,              ?,              ?,              ?,                    2010
Tram,   Netz,                      Århus,          ?,              65,           12,             ?,              ?,              ?,              ?,                    2016
Tram,   T1,                        Toulouse,       212,            ?,            11,             18,             ?,              ?,              ?,                    2010
UBahn,  Hafencity,                 Hamburg,        keuHH: 323.6,   ?,            keuHH:4,        keuHH:2,        ?,              keuHH:4,        gpwHH:6,              keuHH:2012
UBahn,  Lückenschluss U5,          Berlin,         ?,              bwwwU5: 433,  bkhU5:2.2,      bkhU5:3,        ?,              bkhU5:2.2,      gpwB:14,              bwwwU5:2019
UBahn,  gesamtes Netz,             Dubai,          5700,           3800,         76,             47,             ?,              ?,              ?,                    2011
UBahn,  Linie B,                   Toulouse,       1150,           ?,            16.2,           20,             ?,              ?,              ?,                    2007
UBahn,  gesamtes Netz,             Brescia,        900,            600,          13.1,           17,             1.7,            9.7,            ?,                    2012
UBahn,  Neubau der U3,             Nürnberg,       ?,              360,          3.6,            17,             0,              3.6,            ?,                    2007
